Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2020-09-10 17:38:23,2020-09-12,*7197,OK,-49.0,RUB,-49.0,RUB,,Супермаркеты,5411.0,Supermarket 101,0,0,49.0
2020-09-10 14:31:45,2020-09-12,*7197,OK,-0.99,RUB,-0.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,0.99
2020-09-10 14:23:09,2020-09-12,*7197,OK,-131.79,RUB,-131.79,RUB,,Супермаркеты,5499.0,Колхоз,2,0,131.79
2020-09-09 20:45:51,2020-09-11,*7197,OK,-143.0,RUB,-143.0,RUB,,Супермаркеты,5411.0,Supermarket 101,2,0,143.0
2020-09-09 16:49:26,2020-09-11,*7197,OK,-90.0,RUB,-90.0,RUB,,Супермаркеты,5921.0,Produkty 24,1,0,90.0
2020-09-09 14:32:29,2020-09-11,*7197,OK,-372.78,RUB,-372.78,RUB,,Супермаркеты,5411.0,Продукты Ермолино,7,0,372.78
2020-09-08 13:40:01,2020-09-10,*7197,OK,-192.81,RUB,-192.81,RUB,,Супермаркеты,5499.0,Колхоз,3,0,192.81
2020-09-07 17:54:42,2020-09-09,*7197,OK,-367.63,RUB,-367.63,RUB,,Супермаркеты,5411.0,Supermarket 101,7,0,367.63
2020-09-06 21:00:00,2020-09-08,*7197,OK,-309.97,RUB,-309.97,RUB,,Супермаркеты,5411.0,Магнит,6,0,309.97
2020-09-06 15:12:49,2020-09-08,*7197,OK,-126.0,RUB,-126.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,126.0
2020-09-04 15:32:06,2020-09-06,*7197,OK,-539.9,RUB,-539.9,RUB,,Супермаркеты,5411.0,Prisma,10,0,539.9
2020-09-04 15:31:40,2020-09-06,*7197,OK,-599.9,RUB,-599.9,RUB,,Супермаркеты,5411.0,Prisma,11,0,599.9
2020-09-04 13:58:19,2020-09-06,*7197,OK,-92.0,RUB,-92.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,92.0
